id,m,n,k,dtype,trans_a,trans_b,max_cores
external_v4_dense_balanced_aligned,2560,3072,5120,fp16,0,0,24
external_v4_dense_balanced_odd,2113,2801,4867,fp16,0,0,24
external_v4_dense_tall,4864,1280,5632,fp16,0,0,24
external_v4_dense_wide,1280,4864,5632,fp16,0,0,24
external_v4_dense_large,5632,6144,7680,fp16,0,0,24
external_v4_k_shallow,2304,2560,448,fp16,0,0,24
external_v4_k_deep,1536,2048,24576,fp16,0,0,24
external_v4_k_low_output_deep_aligned,320,256,28672,fp16,0,0,24
external_v4_k_low_output_deep_odd,704,512,16385,fp16,0,0,24
external_v4_skinny_m,73,4608,12288,fp16,0,0,24
external_v4_skinny_n,4608,101,12288,fp16,0,0,24
external_v4_layout_tn,2304,3072,4608,fp16,1,0,24
external_v4_layout_nt,2176,2944,4352,fp16,0,1,24
external_v4_layout_tt,1792,2304,3584,fp16,1,1,24
external_v4_bf16_aligned,3072,4096,6144,bf16,0,0,24
external_v4_bf16_odd,1279,1793,3587,bf16,0,0,24
external_v4_fp32_nn,1024,1536,2048,fp32,0,0,24
external_v4_fp32_nt,64,480,4096,fp32,0,1,24
external_v4_fp32_tn,768,1152,1536,fp32,1,0,24
external_v4_fp32_tt,512,768,1024,fp32,1,1,24
external_v4_template_al1,32,384,4096,fp32,0,1,24
external_v4_template_bl1,45056,224,192,fp16,0,0,24
